Year/Month,總計,桃園國際機場,高雄國際機場,臺北松山機場,花蓮機場,臺東機場,澎湖機場,臺中機場,臺南機場,嘉義機場,七美機場,望安機場,蘭嶼機場,綠島機場,金門機場,北竿機場,屏東機場,南竿機場,恆春機場
2015/02,4590974,3093905,463775,449091,11462,23779,132103,177723,25894,6575,1871,181,3937,2604,181413,3393,0,13268,0
2015/03,4595565,3162012,460884,435221,8256,24009,126578,171657,22233,6013,1349,172,4925,2635,152053,3965,0,13603,0
2015/04,4851040,3221240,505946,482410,8683,24950,183348,189335,28107,6804,1483,97,4547,2479,170719,5638,0,15254,0
2015/05,4958018,3216039,515491,517181,8260,24509,228292,205203,29788,6955,1446,178,4443,1956,176009,5407,0,16861,0
2015/06,4951799,3187069,502600,520016,6998,26685,239220,208397,29163,6816,1852,195,4990,2448,185014,8022,0,22314,0
2015/07,5277377,3362016,566934,540389,8267,29036,250012,232513,31037,8153,2027,205,5339,2271,207449,7890,0,23839,0
2015/08,5276176,3447825,561078,523788,8003,26990,217609,223616,27692,7399,1139,143,5083,2302,191219,7489,0,24801,0
2015/09,4647619,3022685,498222,476246,8664,25358,181217,190982,25259,5971,1469,124,5046,2628,173236,7006,0,23506,0
2015/10,5060615,3320313,530716,516957,10473,24004,160174,210190,27223,6504,1642,119,3280,2263,214994,7880,0,23883,0
2015/11,4834087,3232291,498123,492402,11243,25915,131771,189669,25903,5708,1521,110,3453,2609,190478,5398,0,17493,0
2015/12,4884994,3334216,501834,472247,11034,22873,124263,181594,26377,5599,1227,42,2021,2312,180841,3766,0,14748,0
2016/01,4879544,3359027,505515,463792,12384,21486,121263,171288,25858,5761,997,59,2642,2205,169415,3946,0,13906,0
2016/02,5214741,3523930,555227,476680,16637,22776,161110,192668,29858,6723,1474,59,3079,1991,200313,5931,0,16285,0
2016/03,5113350,3527623,537058,474140,14166,25243,136266,172797,24059,5959,1189,78,4659,2362,169235,4605,0,13911,0
2016/04,5322619,3527641,553905,523027,15974,26997,212936,199888,27913,6446,1600,162,5684,1777,197806,5849,0,15014,0
2016/05,5389222,3460319,546864,559635,15767,28157,271716,225410,28469,7188,1618,116,5828,1985,203888,10257,0,22005,0
2016/06,5532645,3532517,577495,575436,16262,26364,277010,229373,33241,7392,1649,137,4954,1563,211427,9497,0,28328,0
2016/07,5890170,3745057,613340,610579,19160,28661,287837,249844,37829,8349,1676,229,4732,1739,236545,9106,0,35487,0
2016/08,5589942,3667282,569305,559019,18630,28392,230295,221844,35136,7650,1098,73,5381,1623,205059,8174,0,30981,0
